product_id,category_code,user_session
1004781,electronics.smartphone,003e1482-b395-48fb-aedc-caa8728267d0
1004741,electronics.smartphone,0069c59b-127c-4947-a161-15e25508e19e
1801860,electronics.video.tv,00f627d9-b61c-4779-8114-19585e7a6dd1
1004794,electronics.smartphone,00f693d7-5788-416e-a1fc-d4e0c29f4806
1004835,electronics.smartphone,011e0b3e-7254-47cb-baf5-3de03f7d2c7a
1003770,electronics.smartphone,016dff42-5d4c-4676-b411-fa4e452f4a43
3200478,appliances.kitchen.meat_grinder,01a57427-faf6-4403-968e-7bb16a98cf71
1004739,electronics.smartphone,01d85c2d-7cc4-4797-9b2a-3453f44abc06
1307067,computers.notebook,01dbc5e1-b8a1-4bc1-b846-7508f252adea
3200549,appliances.kitchen.meat_grinder,01e76273-1d23-4aab-9b68-6d6f2ed5b2cd
1801690,electronics.video.tv,0208e64c-5e3c-40a5-ac0c-cc4a40caf285
1004750,electronics.smartphone,022774aa-fb34-4281-af23-194639829865
1004836,electronics.smartphone,02600924-0959-4ab1-bbda-38ac9e94cddf
1004785,electronics.smartphone,02906141-67dc-4320-9ed9-ec37d43f6e55
1002633,electronics.smartphone,0295a154-5c69-4375-9823-84763af68c56
1002633,electronics.smartphone,02d2dc63-c557-4d9d-b9bc-9f9e95353c3e
5100562,electronics.clocks,02ff5c11-751d-42fa-a99c-dca15285dd8d
1004873,electronics.smartphone,030c7db8-dba6-4712-ac1e-96ba81379de1
1002524,electronics.smartphone,034f2419-703f-487f-b297-c6896d75fe4e
5100523,electronics.clocks,0395b780-f373-4af3-82d8-0fb7e2771361
1004708,electronics.smartphone,03988170-28d1-4f78-ad5a-0e4ed17bc390
1003316,electronics.smartphone,03a5d2e9-59b4-4eb3-ab16-56a071a03528
4804295,electronics.audio.headphone,03b96610-be9e-46fe-846b-0e861e7e0f30
1307067,computers.notebook,03bb4abf-0cd7-4d21-817c-d9c5bfccf2ed
1004767,electronics.smartphone,03cfc561-e29c-4a9e-a011-acc0b31b400f
1002547,electronics.smartphone,03e838ef-5b9f-4b54-825b-863a50d2dbe0
1005115,electronics.smartphone,0402ce8b-05c1-4cdf-a8ce-6dc674f40915
1201465,electronics.tablet,040b71ed-880e-4b4a-8d6a-8f6c2022b58c
2800594,appliances.kitchen.refrigerators,04234b27-2bb3-4340-8b4f-97c4bc5dff19
